sector,date,emissions
Land_use_change_and_forestry,1990-01-01,1909329956
Land_use_change_and_forestry,1991-01-01,1909329956
Land_use_change_and_forestry,1992-01-01,1909329956
Land_use_change_and_forestry,1993-01-01,1909329956
Land_use_change_and_forestry,1994-01-01,1909349976
Land_use_change_and_forestry,1995-01-01,1915189941
Land_use_change_and_forestry,1996-01-01,1711369995
Land_use_change_and_forestry,1997-01-01,2681330078
Land_use_change_and_forestry,1998-01-01,2011150024
Land_use_change_and_forestry,1999-01-01,1819849976
Land_use_change_and_forestry,2000-01-01,1670959961
Land_use_change_and_forestry,2001-01-01,1338219971
Land_use_change_and_forestry,2002-01-01,1853109985
Land_use_change_and_forestry,2003-01-01,1545550049
Land_use_change_and_forestry,2004-01-01,1909319946
Land_use_change_and_forestry,2005-01-01,1631339966
Land_use_change_and_forestry,2006-01-01,2005130005
Land_use_change_and_forestry,2007-01-01,1471650024
Land_use_change_and_forestry,2008-01-01,1432930054
Land_use_change_and_forestry,2009-01-01,1825130005
Land_use_change_and_forestry,2010-01-01,1490209961
Land_use_change_and_forestry,2011-01-01,404679992.7
Land_use_change_and_forestry,2012-01-01,432640014.6
Land_use_change_and_forestry,2013-01-01,388260009.8
Land_use_change_and_forestry,2014-01-01,737940002.4
Land_use_change_and_forestry,2015-01-01,786460022
Land_use_change_and_forestry,2016-01-01,1267609985
Land_use_change_and_forestry,2017-01-01,1220050049
Land_use_change_and_forestry,2018-01-01,1387560059
Land_use_change_and_forestry,2019-01-01,1641670044
Waste,1990-01-01,1364400024
Waste,1991-01-01,1395180054
Waste,1992-01-01,1418280029
Waste,1993-01-01,1444390015
Waste,1994-01-01,1470959961
Waste,1995-01-01,1476510010
Waste,1996-01-01,1478310059
Waste,1997-01-01,1474359985
Waste,1998-01-01,1466280029
Waste,1999-01-01,1464469971
Waste,2000-01-01,1466760010
Waste,2001-01-01,1452910034
Waste,2002-01-01,1447969971
Waste,2003-01-01,1443660034
Waste,2004-01-01,1431880005
Waste,2005-01-01,1422660034
Waste,2006-01-01,1433849976
Waste,2007-01-01,1441869995
Waste,2008-01-01,1446930054
Waste,2009-01-01,1454290039
Waste,2010-01-01,1465130005
Waste,2011-01-01,1467310059
Waste,2012-01-01,1476630005
Waste,2013-01-01,1484040039
Waste,2014-01-01,1514260010
Waste,2015-01-01,1543589966
Waste,2016-01-01,1560849976
Waste,2017-01-01,1583859985
Waste,2018-01-01,1606859985
Waste,2019-01-01,1629869995
Industry,1990-01-01,1008400024
Industry,1991-01-01,1012690002
Industry,1992-01-01,1028819946
Industry,1993-01-01,1044170044
Industry,1994-01-01,1152160034
Industry,1995-01-01,1225410034
Industry,1996-01-01,1276660034
Industry,1997-01-01,1319969971
Industry,1998-01-01,1322180054
Industry,1999-01-01,1329359985
Industry,2000-01-01,1389869995
Industry,2001-01-01,1412680054
Industry,2002-01-01,1477939941
Industry,2003-01-01,1552449951
Industry,2004-01-01,1654290039
Industry,2005-01-01,1738640015
Industry,2006-01-01,1870079956
Industry,2007-01-01,1995569946
Industry,2008-01-01,2041380005
Industry,2009-01-01,2087709961
Industry,2010-01-01,2221780029
Industry,2011-01-01,2374810059
Industry,2012-01-01,2457209961
Industry,2013-01-01,2572860107
Industry,2014-01-01,2694219971
Industry,2015-01-01,2685919922
Industry,2016-01-01,2785780029
Industry,2017-01-01,2854379883
Industry,2018-01-01,2967379883
Industry,2019-01-01,3055979980
Manufacturing_and_construction,1990-01-01,3978989990
Manufacturing_and_construction,1991-01-01,3900250000
Manufacturing_and_construction,1992-01-01,3767820068
Manufacturing_and_construction,1993-01-01,3718770020
Manufacturing_and_construction,1994-01-01,3735709961
Manufacturing_and_construction,1995-01-01,3962860107
Manufacturing_and_construction,1996-01-01,3852590088
Manufacturing_and_construction,1997-01-01,3878989990
Manufacturing_and_construction,1998-01-01,3879199951
Manufacturing_and_construction,1999-01-01,3722290039
Manufacturing_and_construction,2000-01-01,3901280029
Manufacturing_and_construction,2001-01-01,3919689941
Manufacturing_and_construction,2002-01-01,3918070068
Manufacturing_and_construction,2003-01-01,4105859863
Manufacturing_and_construction,2004-01-01,4539879883
Manufacturing_and_construction,2005-01-01,4961069824
Manufacturing_and_construction,2006-01-01,5209419922
Manufacturing_and_construction,2007-01-01,5483810059
Manufacturing_and_construction,2008-01-01,5599040039
Manufacturing_and_construction,2009-01-01,5580509766
Manufacturing_and_construction,2010-01-01,6124859863
Manufacturing_and_construction,2011-01-01,6354649902
Manufacturing_and_construction,2012-01-01,6378330078
Manufacturing_and_construction,2013-01-01,6408000000
Manufacturing_and_construction,2014-01-01,6452879883
Manufacturing_and_construction,2015-01-01,6370430176
Manufacturing_and_construction,2016-01-01,6183870117
Manufacturing_and_construction,2017-01-01,6126089844
Manufacturing_and_construction,2018-01-01,6222669922
Manufacturing_and_construction,2019-01-01,6297089844
Transport,1990-01-01,4725540039
Transport,1991-01-01,4764850098
Transport,1992-01-01,4871850098
Transport,1993-01-01,4913799805
Transport,1994-01-01,5012390137
Transport,1995-01-01,5148970215
Transport,1996-01-01,5360379883
Transport,1997-01-01,5440029785
Transport,1998-01-01,5566899902
Transport,1999-01-01,5731339844
Transport,2000-01-01,5913669922
Transport,2001-01-01,5945729980
Transport,2002-01-01,6100430176
Transport,2003-01-01,6228069824
Transport,2004-01-01,6517000000
Transport,2005-01-01,6661080078
Transport,2006-01-01,6817330078
Transport,2007-01-01,7028799805
Transport,2008-01-01,7035930176
Transport,2009-01-01,6895299805
Transport,2010-01-01,7188990234
Transport,2011-01-01,7304020020
Transport,2012-01-01,7363529785
Transport,2013-01-01,7558390137
Transport,2014-01-01,7685669922
Transport,2015-01-01,7923229980
Transport,2016-01-01,8073899902
Transport,2017-01-01,8278480469
Transport,2018-01-01,8417750000
Transport,2019-01-01,8434959961
Electricity_and_heat,1990-01-01,8627950195
Electricity_and_heat,1991-01-01,8768700195
Electricity_and_heat,1992-01-01,8929030273
Electricity_and_heat,1993-01-01,8978950195
Electricity_and_heat,1994-01-01,9074969727
Electricity_and_heat,1995-01-01,9268360352
Electricity_and_heat,1996-01-01,9624070313
Electricity_and_heat,1997-01-01,9895910156
Electricity_and_heat,1998-01-01,10123509766
Electricity_and_heat,1999-01-01,10172969727
Electricity_and_heat,2000-01-01,10597940430
Electricity_and_heat,2001-01-01,10861040039
Electricity_and_heat,2002-01-01,11048990234
Electricity_and_heat,2003-01-01,11670519531
Electricity_and_heat,2004-01-01,12058349609
Electricity_and_heat,2005-01-01,12435519531
Electricity_and_heat,2006-01-01,12930230469
Electricity_and_heat,2007-01-01,13499990234
Electricity_and_heat,2008-01-01,13527500000
Electricity_and_heat,2009-01-01,13313889648
Electricity_and_heat,2010-01-01,14211190430
Electricity_and_heat,2011-01-01,14819519531
Electricity_and_heat,2012-01-01,15120129883
Electricity_and_heat,2013-01-01,15390219727
Electricity_and_heat,2014-01-01,15336570313
Electricity_and_heat,2015-01-01,15059709961
Electricity_and_heat,2016-01-01,15081509766
Electricity_and_heat,2017-01-01,15416959961
Electricity_and_heat,2018-01-01,15875480469
Electricity_and_heat,2019-01-01,15834639648
Buildings,1990-01-01,2880879883
Buildings,1991-01-01,2906540039
Buildings,1992-01-01,2795600098
Buildings,1993-01-01,2862199951
Buildings,1994-01-01,2775489990
Buildings,1995-01-01,2852909912
Buildings,1996-01-01,2916239990
Buildings,1997-01-01,2896840088
Buildings,1998-01-01,2743350098
Buildings,1999-01-01,2815280029
Buildings,2000-01-01,2806820068
Buildings,2001-01-01,2829399902
Buildings,2002-01-01,2829689941
Buildings,2003-01-01,2917530029
Buildings,2004-01-01,2960510010
Buildings,2005-01-01,2961429932
Buildings,2006-01-01,2931250000
Buildings,2007-01-01,2926120117
Buildings,2008-01-01,2991189941
Buildings,2009-01-01,2937929932
Buildings,2010-01-01,2991399902
Buildings,2011-01-01,2935399902
Buildings,2012-01-01,2878580078
Buildings,2013-01-01,2991879883
Buildings,2014-01-01,2938790039
Buildings,2015-01-01,2968199951
Buildings,2016-01-01,3005850098
Buildings,2017-01-01,3072669922
Buildings,2018-01-01,3105540039
Buildings,2019-01-01,3065310059
Fugitive_emissions,1990-01-01,2256139893
Fugitive_emissions,1991-01-01,2249750000
Fugitive_emissions,1992-01-01,2210719971
Fugitive_emissions,1993-01-01,2219810059
Fugitive_emissions,1994-01-01,2230219971
Fugitive_emissions,1995-01-01,2294050049
Fugitive_emissions,1996-01-01,2352219971
Fugitive_emissions,1997-01-01,2363969971
Fugitive_emissions,1998-01-01,2371750000
Fugitive_emissions,1999-01-01,2364580078
Fugitive_emissions,2000-01-01,2471260010
Fugitive_emissions,2001-01-01,2485100098
Fugitive_emissions,2002-01-01,2463330078
Fugitive_emissions,2003-01-01,2626350098
Fugitive_emissions,2004-01-01,2722330078
Fugitive_emissions,2005-01-01,2838659912
Fugitive_emissions,2006-01-01,2888560059
Fugitive_emissions,2007-01-01,2939969971
Fugitive_emissions,2008-01-01,2976570068
Fugitive_emissions,2009-01-01,2926500000
Fugitive_emissions,2010-01-01,3041459961
Fugitive_emissions,2011-01-01,3120300049
Fugitive_emissions,2012-01-01,3178479980
Fugitive_emissions,2013-01-01,3184649902
Fugitive_emissions,2014-01-01,3218620117
Fugitive_emissions,2015-01-01,3211030029
Fugitive_emissions,2016-01-01,3202100098
Fugitive_emissions,2017-01-01,3242850098
Fugitive_emissions,2018-01-01,3354449951
Fugitive_emissions,2019-01-01,3402199951
Other_fuel_combustion,1990-01-01,774750000
Other_fuel_combustion,1991-01-01,775320007.3
Other_fuel_combustion,1992-01-01,690390014.6
Other_fuel_combustion,1993-01-01,702059997.6
Other_fuel_combustion,1994-01-01,673010009.8
Other_fuel_combustion,1995-01-01,623739990.2
Other_fuel_combustion,1996-01-01,550609985.4
Other_fuel_combustion,1997-01-01,599539978
Other_fuel_combustion,1998-01-01,573080017.1
Other_fuel_combustion,1999-01-01,583419982.9
Other_fuel_combustion,2000-01-01,523419982.9
Other_fuel_combustion,2001-01-01,535000000
Other_fuel_combustion,2002-01-01,536429992.7
Other_fuel_combustion,2003-01-01,555770019.5
Other_fuel_combustion,2004-01-01,590500000
Other_fuel_combustion,2005-01-01,611659973.1
Other_fuel_combustion,2006-01-01,621150024.4
Other_fuel_combustion,2007-01-01,623880004.9
Other_fuel_combustion,2008-01-01,631109985.4
Other_fuel_combustion,2009-01-01,619590026.9
Other_fuel_combustion,2010-01-01,635669982.9
Other_fuel_combustion,2011-01-01,620479980.5
Other_fuel_combustion,2012-01-01,644369995.1
Other_fuel_combustion,2013-01-01,651849975.6
Other_fuel_combustion,2014-01-01,646940002.4
Other_fuel_combustion,2015-01-01,641109985.4
Other_fuel_combustion,2016-01-01,641659973.1
Other_fuel_combustion,2017-01-01,640570007.3
Other_fuel_combustion,2018-01-01,627340026.9
Other_fuel_combustion,2019-01-01,601900024.4
Aviation_and_shipping,1990-01-01,635919982.9
Aviation_and_shipping,1991-01-01,643659973.1
Aviation_and_shipping,1992-01-01,680849975.6
Aviation_and_shipping,1993-01-01,672960022
Aviation_and_shipping,1994-01-01,699419982.9
Aviation_and_shipping,1995-01-01,723390014.6
Aviation_and_shipping,1996-01-01,745400024.4
Aviation_and_shipping,1997-01-01,771159973.1
Aviation_and_shipping,1998-01-01,795590026.9
Aviation_and_shipping,1999-01-01,837140014.6
Aviation_and_shipping,2000-01-01,862799987.8
Aviation_and_shipping,2001-01-01,830299987.8
Aviation_and_shipping,2002-01-01,869429992.7
Aviation_and_shipping,2003-01-01,875159973.1
Aviation_and_shipping,2004-01-01,954770019.5
Aviation_and_shipping,2005-01-01,999770019.5
Aviation_and_shipping,2006-01-01,1052910034
Aviation_and_shipping,2007-01-01,1103650024
Aviation_and_shipping,2008-01-01,1112939941
Aviation_and_shipping,2009-01-01,1058939941
Aviation_and_shipping,2010-01-01,1130540039
Aviation_and_shipping,2011-01-01,1145229980
Aviation_and_shipping,2012-01-01,1099280029
Aviation_and_shipping,2013-01-01,1106050049
Aviation_and_shipping,2014-01-01,1142800049
Aviation_and_shipping,2015-01-01,1195599976
Aviation_and_shipping,2016-01-01,1237890015
Aviation_and_shipping,2017-01-01,1296119995
Aviation_and_shipping,2018-01-01,1322290039
Aviation_and_shipping,2019-01-01,1314760010
Agriculture,1990-01-01,4997209961
Agriculture,1991-01-01,4987899902
Agriculture,1992-01-01,4966259766
Agriculture,1993-01-01,4935600098
Agriculture,1994-01-01,4980790039
Agriculture,1995-01-01,5037620117
Agriculture,1996-01-01,5056879883
Agriculture,1997-01-01,4986250000
Agriculture,1998-01-01,5041839844
Agriculture,1999-01-01,5098339844
Agriculture,2000-01-01,5093500000
Agriculture,2001-01-01,5104319824
Agriculture,2002-01-01,5163729980
Agriculture,2003-01-01,5158109863
Agriculture,2004-01-01,5271259766
Agriculture,2005-01-01,5307279785
Agriculture,2006-01-01,5365129883
Agriculture,2007-01-01,5447299805
Agriculture,2008-01-01,5456540039
Agriculture,2009-01-01,5448620117
Agriculture,2010-01-01,5506819824
Agriculture,2011-01-01,5640649902
Agriculture,2012-01-01,5667250000
Agriculture,2013-01-01,5608450195
Agriculture,2014-01-01,5655899902
Agriculture,2015-01-01,5682100098
Agriculture,2016-01-01,5728560059
Agriculture,2017-01-01,5815959961
Agriculture,2018-01-01,5803009766
Agriculture,2019-01-01,5794609863
